ContentItem ID,Type,Slug,Title,Status,Channel,Next Date,Image?,Venue,Venue Address,Venue City,Venue Zipcode,Venue Website,Venue Phone,Author,Last Updated,Subheadline,Brief,Long Description
566093,Venue,mmxozk-160-grand-prix-venue,160 Grand Prix,Live,other,"",yes,"",U.S. 160 and Christian County AA,Nixa,65714,http://www.160grandprix.com/,417-724-8300,"","Mar 28, 2011 by rjasper@news-leader.com","","Affordable, outdoor fun for anyone wanting to relive their childhood. 160 Grand Prix offers go karts, batting cages and two 18-hole miniature golf courses. If you're looking for a party place, the Grand Prix also offers party packages.","Affordable, outdoor fun for anyone wanting to relive their childhood. 160 Grand Prix offers go karts, batting cages and two 18-hole miniature golf courses. If you're looking for a party place, the Grand Prix also offers party packages."
566094,Venue,mmxozk-1955-maple-cafe-venue,1955 Maple Cafe,Live,restaurants,"",yes,"",2253 N. Glenstone Ave.,Springfield,65803,"",417-865-5656,"","Mar 28, 2011 by bjacques@springfi.gannett.com","","A local favorite since 1955, and a perfect stop for Route 66'ers; try their $2.99 breakfast!","A local favorite since 1955, and a perfect stop for Route 66'ers; try their $2.99 breakfast!"
566096,Venue,mmxozk-1984-venue,1984,Live,bars-and-clubs,"",yes,"",400 E. Walnut St. Suite 108,Springfield,65806,http://www.1984arcade.com/,417-831-3665,"","Mar 28, 2011 by janpete@springfi.gannett.com","","Ladies, rat your hair to the moon and grab your jelly bracelets. Guys, don't leave the house without your Members Only jacket. Brush up on your Pac-Man skills and travel back in time to the 80's at 1984 Arcade. Also offered: party packages.","Ladies, rat your hair to the moon and grab your jelly bracelets. Guys, don't leave the house without your Members Only jacket. Brush up on your Pac-Man skills and travel back in time to the 80's at 1984 Arcade. Also offered: party packages."
656165,Venue,mmxozk-2-50-corona-all-day-every-day-venue,$2.50 Corona All Day Every Day,Draft,restaurants,"","","",1540 W. Republic Rd,Springfield,65807,"","","","Mar 28, 2011 by apope@springfi.gannett.com","","",""
566097,Venue,mmxozk-3-gs-frozen-custard-venue,3 G's Frozen Custard,Live,restaurants,"","","",123 E. Broadway St.,Bolivar,65613,"",417-777-5963,"","Mar 28, 2011 by bjacques@springfi.gannett.com","","3 G's is known for its ""Slow Poke"" custard and curb-side seating; four-legged friends welcome!","3 G's is known for its ""Slow Poke"" custard and curb-side seating; four-legged friends welcome!"
2227961,Venue,mmxozk-417-pizza-venue,417 Pizza ,Live,restaurants,"",yes,"",4560 S. Campbell,Springfield,65810,http://www.417pizza.com/,417-887-4417,"","Mar 29, 2011 by bjacques@springfi.gannett.com","","Specializing in thin-crust pizzas, offering regular and whole wheat crusts made in-house. Also serving breadsticks, salads, sandwiches and wings. Dine-in, carryout, delivery or catering.","Specializing in thin-crust pizzas, offering regular and whole wheat crusts made in-house. Also serving breadsticks, salads, sandwiches and wings. Dine-in, carryout, delivery or catering."
566528,Venue,mmxozk-5-and-diner-venue,5 & Diner,Live,restaurants,"","","",126 St. Robert Blvd.,Saint Robert,65584,http://www.5anddiner.com/,573-336-8989,"","Mar 28, 2011 by bjacques@springfi.gannett.com","","A flashback to the '50s, serving breakfast all day, classic milkshakes and more! A full menu of surprises includes Caribbean Citrus Glazed Salmon alongside the meatloaf, chicken-fried steaks and barbecued ribs. Bonus: jukebox.","A flashback to the '50s, serving breakfast all day, classic milkshakes and more!&nbsp; A full menu of surprises includes Caribbean Citrus Glazed Salmon alongside the meatloaf, chicken-fried steaks and barbecued ribs. Bonus: jukebox.&nbsp;"
727843,Venue,mmxozk-5-spice-china-grill-venue,5 Spice China Grill,Live,restaurants,"",yes,"",2058 S. Glenstone,Springfield,65804,http://5spicegrill.com/,417-799-0215,"","Jun 17, 2011 by bjacques@springfi.gannett.com","","Superior quality, affordable Chinese food from the owners of Ocean Zen, specializing in unique dishes and martinis.Unique Chinese food is hard to come by in any city, but Springfield has a gem in its midst with 5 Spice China Grill. Owned by the same folks at Ocean Zen (and located in its old...","Superior quality, affordable Chinese food from the owners of Ocean Zen, specializing in unique dishes and martinis.Unique Chinese food is hard to come by in any city, but Springfield has a gem in its midst with 5 Spice China Grill. Owned by the same folks at Ocean Zen (and located in its old Glenstone location), the food reflects a similar excellence and creativity. Pick from a handful of tasty appetizers and sides or go for one of their entrees from ""The Land,"" ""The Sea"" or ""The Sky."" Sweet-and-Spicy Mongolian- style Beef is a fantastic bet, as is Hong Kong-style Ruby Crystal Shrimp. Dine in and enjoy their many (and changing) martini options or pick up your meal at the drive-thru window."
566964,Venue,mmxozk-821-venue,821,Live,bars-and-clubs,"","","",821 W. College St.,Springfield,65804,http://club821.com/,417-866-4821,"","Mar 28, 2011 by janpete@springfi.gannett.com","","A little off the beaten path in more ways than one, this place is a gathering place for people of all kinds.","A little off the beaten path in more ways than one, this place is a gathering place for people of all kinds."
767231,Venue,mmxozk-9-venues-in-springfield-venue,9 Venues in Springfield,Live,music,"","","","",Springfield,65802,"","","","Mar 29, 2011 by kleonard02@metromix.com","","",""
566003,Venue,mmxozk-9th-street-italian-deli-venue,9th Street Italian Deli,Live,restaurants,"","","",415 N. State Hwy 265,Branson,65616,http://www.chateauonthelake.com/,417-334-1161,"","Jun 17, 2011 by janpete@springfi.gannett.com","","Serving lighter meals and picnic-style dishes, the 9th Street Deli offers bistro-style sandwiches, handmade pizzas, salads and boxed lunches to go. Take your deli meal outside to the patio, out on a boat or on a picnic.","Serving lighter meals and picnic-style dishes, the 9th Street Deli offers bistro-style sandwiches, handmade pizzas, salads and boxed lunches to go. Take your deli meal outside to the patio, out on a boat or on a picnic."
